bowler,balls,runs_conceded,wickets,runs_per_ball,wicket_prob,economy
Kuldeep Yadav,2110,2805,106,1.3293838862559242,0.05023696682464455,7.976303317535545
PP Chawla,3895,5179,201,1.329653401797176,0.05160462130937099,7.977920410783056
MC Henriques,979,1302,46,1.3299284984678243,0.04698672114402452,7.9795709908069465
M Pathirana,787,1047,53,1.3303684879288438,0.06734434561626429,7.982210927573062
R Dhawan,693,922,27,1.3304473304473305,0.03896103896103896,7.982683982683984
Bipul Sharma,436,581,22,1.3325688073394495,0.05045871559633028,7.9954128440366965
JA Morkel,1807,2409,96,1.3331488655229662,0.053126729385722195,7.998893193137797
Ravi Bishnoi,1693,2263,77,1.3366804489072652,0.045481393975191964,8.020082693443591
MG Johnson,1301,1740,66,1.3374327440430438,0.05073020753266718,8.024596464258263
SB Jakati,1101,1474,50,1.3387829246139873,0.045413260672116255,8.032697547683924
DS Kulkarni,1876,2513,91,1.3395522388059702,0.048507462686567165,8.037313432835822
S Aravind,788,1057,48,1.3413705583756346,0.06091370558375635,8.048223350253807
DJ Bravo,3296,4436,207,1.345873786407767,0.06280339805825243,8.075242718446603
Mujeeb Ur Rahman,465,626,21,1.346236559139785,0.04516129032258064,8.07741935483871
BA Bhatt,303,408,13,1.3465346534653466,0.0429042904290429,8.07920792079208
P Awana,774,1046,43,1.351421188630491,0.05555555555555555,8.108527131782946
MR Marsh,593,803,37,1.3541315345699831,0.06239460370994941,8.124789207419898
C Sakariya,479,649,20,1.3549060542797495,0.04175365344467641,8.129436325678498
DS Rathi,321,435,14,1.355140186915888,0.04361370716510903,8.130841121495328
AD Mathews,807,1095,28,1.3568773234200744,0.03469640644361834,8.141263940520446
DR Sams,389,528,15,1.3573264781491003,0.038560411311053984,8.143958868894602
S Gopal,1000,1358,53,1.358,0.053,8.148
GJ Maxwell,1047,1422,45,1.3581661891117478,0.04297994269340974,8.148997134670488
M Theekshana,902,1226,36,1.3592017738359201,0.03991130820399113,8.15521064301552
I Sharma,2546,3465,100,1.3609583660644147,0.03927729772191673,8.165750196386488
MJ McClenaghan,1346,1839,75,1.3662704309063893,0.05572065378900446,8.197622585438335
JR Hazlewood,892,1219,58,1.366591928251121,0.06502242152466367,8.199551569506726
TA Boult,2785,3806,151,1.3666068222621184,0.05421903052064632,8.19964093357271
Mohsin Khan,507,698,27,1.3767258382642997,0.05325443786982249,8.2603550295858
K Gowtham,599,825,22,1.3772954924874792,0.03672787979966611,8.263772954924875
A Zampa,475,656,32,1.3810526315789473,0.06736842105263158,8.286315789473683
KA Pollard,1586,2200,81,1.3871374527112232,0.0510718789407314,8.32282471626734
L Ngidi,390,541,32,1.3871794871794871,0.08205128205128205,8.323076923076922
KW Richardson,345,479,21,1.3884057971014492,0.06086956521739131,8.330434782608695
R Vinay Kumar,2186,3041,127,1.3911253430924062,0.05809698078682525,8.346752058554436
J Suchith,434,604,20,1.391705069124424,0.04608294930875576,8.350230414746544
UT Yadav,3190,4442,163,1.392476489028213,0.05109717868338558,8.354858934169279
Shivam Mavi,687,958,33,1.3944687045123727,0.048034934497816595,8.366812227074236
PJ Sangwan,905,1267,44,1.4,0.04861878453038674,8.399999999999999
Mohammed Siraj,2448,3434,112,1.4027777777777777,0.0457516339869281,8.416666666666666
PWH de Silva,808,1134,47,1.4034653465346534,0.05816831683168317,8.42079207920792
KV Sharma,1611,2263,89,1.40471756672874,0.05524518932340161,8.42830540037244
LR Shukla,326,458,17,1.4049079754601228,0.05214723926380368,8.429447852760736
TG Southee,1262,1774,57,1.4057052297939778,0.045166402535657686,8.434231378763867
DJ Hooda,391,550,10,1.4066496163682864,0.02557544757033248,8.43989769820972
AJ Tye,714,1005,48,1.4075630252100841,0.06722689075630252,8.445378151260504
M Prasidh Krishna,1595,2247,80,1.4087774294670847,0.050156739811912224,8.452664576802508
K Rabada,1995,2816,128,1.4115288220551379,0.06416040100250626,8.469172932330828
MA Starc,1124,1588,78,1.4128113879003559,0.0693950177935943,8.476868327402135
BA Stokes,723,1023,31,1.4149377593360997,0.042876901798063624,8.489626556016598
Mohammed Shami,2708,3834,150,1.4158050221565732,0.055391432791728215,8.49483013293944
NT Ellis,390,553,20,1.417948717948718,0.05128205128205128,8.507692307692308
Navdeep Saini,682,968,26,1.4193548387096775,0.03812316715542522,8.516129032258064
JO Holder,1049,1489,59,1.4194470924690181,0.05624404194470925,8.516682554814109
HV Patel,2570,3649,168,1.4198443579766538,0.06536964980544747,8.519066147859922
AN Ahmed,362,515,15,1.4226519337016574,0.04143646408839779,8.535911602209945
VY Mahesh,359,511,22,1.4233983286908078,0.06128133704735376,8.540389972144848
MS Gony,925,1317,39,1.4237837837837837,0.04216216216216216,8.542702702702702
S Kaul,1238,1772,63,1.431340872374798,0.05088852988691438,8.588045234248789
MM Sharma,2471,3537,149,1.4314042897612302,0.060299473897207606,8.58842573856738
AB Agarkar,820,1174,33,1.4317073170731707,0.04024390243902439,8.590243902439024
VR Aaron,1065,1527,46,1.4338028169014085,0.0431924882629108,8.60281690140845
JP Faulkner,1287,1849,76,1.4366744366744366,0.059052059052059055,8.620046620046619
T Natarajan,1426,2054,77,1.4403927068723703,0.05399719495091164,8.642356241234221
Arshdeep Singh,1820,2624,106,1.4417582417582417,0.05824175824175824,8.65054945054945
NLTC Perera,715,1031,37,1.441958041958042,0.05174825174825175,8.651748251748252
LH Ferguson,1078,1558,63,1.4452690166975881,0.05844155844155844,8.67161410018553
R Sai Kishore,453,655,32,1.445916114790287,0.0706401766004415,8.675496688741722
PJ Cummins,1682,2436,82,1.4482758620689655,0.04875148632580262,8.689655172413794
KK Ahmed,1635,2372,94,1.4507645259938837,0.05749235474006116,8.704587155963303
SJ Srivastava,306,444,15,1.4509803921568627,0.049019607843137254,8.705882352941176
JD Unadkat,2340,3396,121,1.4512820512820512,0.051709401709401706,8.707692307692307
CR Woakes,463,674,31,1.4557235421166306,0.06695464362850972,8.734341252699783
D Wiese,307,447,17,1.4560260586319218,0.05537459283387622,8.73615635179153
C Green,462,675,20,1.4610389610389611,0.04329004329004329,8.766233766233768
M Markande,737,1081,37,1.4667571234735415,0.050203527815468114,8.800542740841248
LS Livingstone,321,471,13,1.4672897196261683,0.040498442367601244,8.80373831775701
Suyash Sharma,569,835,20,1.4674868189806678,0.0351493848857645,8.804920913884008
Abhishek Sharma,345,509,11,1.4753623188405798,0.03188405797101449,8.85217391304348
Anureet Singh,430,636,21,1.4790697674418605,0.04883720930232558,8.874418604651163
Naveen-ul-Haq,407,602,26,1.479115479115479,0.06388206388206388,8.874692874692874
VRV Singh,371,549,16,1.4797843665768193,0.0431266846361186,8.878706199460916
DR Smith,557,825,27,1.481149012567325,0.04847396768402154,8.88689407540395
HH Pandya,1714,2541,84,1.482497082847141,0.049008168028004666,8.894982497082847
Avesh Khan,1684,2497,94,1.4827790973871735,0.055819477434679333,8.89667458432304
JP Behrendorff,379,563,22,1.4854881266490765,0.05804749340369393,8.91292875989446
BB Sran,516,767,20,1.4864341085271318,0.03875968992248062,8.918604651162791
AS Rajpoot,567,844,24,1.4885361552028218,0.042328042328042326,8.93121693121693
SN Thakur,2205,3284,115,1.489342403628118,0.05215419501133787,8.936054421768707
A Nortje,1142,1701,63,1.489492119089317,0.05516637478108581,8.936952714535902
VG Arora,690,1029,39,1.491304347826087,0.05652173913043478,8.947826086956521
RP Meredith,415,621,21,1.4963855421686747,0.05060240963855422,8.978313253012049
M Jansen,787,1180,38,1.4993646759847523,0.048284625158831,8.996188055908513
R McLaren,372,558,14,1.5,0.03763440860215054,9.0
DJ Hussey,323,485,10,1.501547987616099,0.030959752321981424,9.009287925696594
Umran Malik,519,785,31,1.51252408477842,0.05973025048169557,9.07514450867052
Pankaj Singh,311,472,11,1.517684887459807,0.03536977491961415,9.106109324758842
JR Hopes,369,562,14,1.5230352303523036,0.037940379403794036,9.138211382113822
A Mithun,312,477,8,1.5288461538461537,0.02564102564102564,9.173076923076923
Yash Dayal,920,1412,45,1.5347826086956522,0.04891304347826087,9.208695652173914
Harshit Rana,679,1047,42,1.5419734904270987,0.061855670103092786,9.251840942562593
AD Russell,1885,2909,133,1.543236074270557,0.07055702917771883,9.259416445623343
R Parag,309,478,9,1.5469255663430421,0.02912621359223301,9.281553398058254
CJ Jordan,717,1111,36,1.5495118549511855,0.0502092050209205,9.297071129707113
TU Deshpande,1043,1617,55,1.5503355704697988,0.052732502396931925,9.302013422818792
AS Joseph,454,707,22,1.5572687224669604,0.048458149779735685,9.343612334801762
Mukesh Choudhary,334,523,17,1.5658682634730539,0.05089820359281437,9.395209580838323
PVD Chameera,408,640,15,1.5686274509803921,0.03676470588235294,9.411764705882353
Kartik Tyagi,458,720,16,1.5720524017467248,0.034934497816593885,9.432314410480348
SM Curran,1308,2059,63,1.5741590214067278,0.0481651376146789,9.444954128440367
Shahbaz Ahmed,605,953,22,1.5752066115702479,0.03636363636363636,9.451239669421486
Azmatullah Omarzai,300,476,12,1.5866666666666667,0.04,9.52
Akash Madhwal,376,598,26,1.5904255319148937,0.06914893617021277,9.542553191489361
Basil Thampi,539,862,26,1.5992578849721706,0.04823747680890538,9.595547309833023
MP Stoinis,922,1477,46,1.6019522776572668,0.049891540130151846,9.6117136659436
Vijaykumar Vyshak,356,577,21,1.6207865168539326,0.05898876404494382,9.724719101123595
Yash Thakur,475,782,28,1.6463157894736842,0.05894736842105263,9.877894736842105
Mukesh Kumar,675,1118,45,1.6562962962962964,0.06666666666666667,9.937777777777779
CJ Anderson,315,525,14,1.6666666666666667,0.044444444444444446,10.0
Akash Deep,302,554,11,1.8344370860927153,0.03642384105960265,11.006622516556291
